2025-03-17 11:33:09,718 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250317_113309-skpl63jy/logs/debug.log
2025-03-17 11:33:09,719 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250317_113309-skpl63jy/logs/debug-internal.log
2025-03-17 11:33:09,719 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():761] calling init triggers
2025-03-17 11:33:09,719 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 128, 'epochs': 100, 'hidden_size': 32, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'momentum', 'weight_decay': 0, 'weight_init': 'random'}
config: {'_wandb': {}}
2025-03-17 11:33:09,719 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():784] starting backend
2025-03-17 11:33:09,719 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():788] sending inform_init request
2025-03-17 11:33:09,720 INFO    Thread-4 (_run_job):3303821 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-17 11:33:09,720 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():798] backend started and connected
2025-03-17 11:33:09,721 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 128, 'epochs': 100, 'hidden_size': 32, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'momentum', 'weight_decay': 0, 'weight_init': 'random'}
2025-03-17 11:33:09,724 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():891] updated telemetry
2025-03-17 11:33:09,725 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 11:33:10,276 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 11:33:10,358 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 11:33:10,358 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 11:33:10,358 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 11:33:10,358 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 11:33:10,359 INFO    Thread-4 (_run_job):3303821 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 11:33:10,870 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Loss Comparison') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/lineseries/v0', 'fieldSettings': {'step': 'step', 'lineKey': 'lineKey', 'lineVal': 'lineVal'}, 'stringSettings': {'title': 'Cross-Entropy vs. Squared Error Loss', 'xname': 'Epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Loss Comparison_table'}], 'fields': []}]}]}}} None
2025-03-17 11:33:11,851 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Loss Comparison') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/lineseries/v0', 'fieldSettings': {'step': 'step', 'lineKey': 'lineKey', 'lineVal': 'lineVal'}, 'stringSettings': {'title': 'Cross-Entropy vs. Squared Error Loss', 'xname': 'Epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Loss Comparison_table'}], 'fields': []}]}]}}} None
2025-03-17 11:33:12,748 INFO    Thread-4 (_run_job):3303821 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Loss Comparison') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/lineseries/v0', 'fieldSettings': {'step': 'step', 'lineKey': 'lineKey', 'lineVal': 'lineVal'}, 'stringSettings': {'title': 'Cross-Entropy vs. Squared Error Loss', 'xname': 'Epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Loss Comparison_table'}], 'fields': []}]}]}}} None
