2025-03-17 13:56:21,665 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250317_135621-11bntr13/logs/debug.log
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /speech/akshaya/zDA6401/for_confusion/wandb/run-20250317_135621-11bntr13/logs/debug-internal.log
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():761] calling init triggers
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 128, 'epochs': 10, 'hidden_size': 32, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'sgd', 'weight_decay': 0.5, 'weight_init': 'random'}
config: {'_wandb': {}}
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():784] starting backend
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():788] sending inform_init request
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-17 13:56:21,666 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():798] backend started and connected
2025-03-17 13:56:21,667 INFO    Thread-148 (_run_job):3318875 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 128, 'epochs': 10, 'hidden_size': 32, 'learning_rate': 0.001, 'loss': 'cross_entropy', 'num_layers': 5, 'optimizer': 'sgd', 'weight_decay': 0.5, 'weight_init': 'random'}
2025-03-17 13:56:21,667 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():891] updated telemetry
2025-03-17 13:56:21,668 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 13:56:22,196 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 13:56:22,256 INFO    Thread-148 (_run_job):3318875 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 13:56:22,256 INFO    Thread-148 (_run_job):3318875 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 13:56:22,256 INFO    Thread-148 (_run_job):3318875 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 13:56:22,256 INFO    Thread-148 (_run_job):3318875 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 13:56:22,256 INFO    Thread-148 (_run_job):3318875 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 13:56:22,999 INFO    Thread-148 (_run_job):3318875 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Loss Comparison') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/lineseries/v0', 'fieldSettings': {'step': 'step', 'lineKey': 'lineKey', 'lineVal': 'lineVal'}, 'stringSettings': {'title': 'Cross-Entropy vs. Squared Error Loss', 'xname': 'Epoch'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Loss Comparison_table'}], 'fields': []}]}]}}} None
